# t X Y Z X_set Y_set Z_set
0.001000 0.000000 0.000000 0.600000 0.000000 0.000000 0.000000
0.002000 0.000000 0.000000 0.599990 0.000000 0.000000 0.000000
0.003000 0.000000 0.000000 0.599971 0.000000 0.000000 0.000000
0.004000 0.000000 0.000000 0.599941 0.000000 0.000000 0.000000
0.005000 0.000000 0.000000 0.599902 0.000000 0.000000 0.000000
0.006000 0.000000 0.000000 0.599853 0.000000 0.000000 0.000000
0.007000 0.000000 0.000000 0.599795 0.000000 0.000000 0.000000
0.008000 0.000000 0.000000 0.599726 0.000000 0.000000 0.000000
0.009000 0.000000 0.000000 0.599648 0.000000 0.000000 0.000000
0.010000 0.000000 0.000000 0.599561 0.000000 0.000000 0.000000
0.011000 0.000000 0.000000 0.599463 0.000000 0.000000 0.000000
0.012000 0.000000 0.000000 0.599356 0.000000 0.000000 0.000000
0.013000 0.000000 0.000000 0.599240 0.000000 0.000000 0.000000
0.014000 0.000000 0.000000 0.599113 0.000000 0.000000 0.000000
0.015000 0.000000 0.000000 0.598977 0.000000 0.000000 0.000000
0.016000 0.000000 0.000000 0.598832 0.000000 0.000000 0.000000
0.017000 0.000000 0.000000 0.598677 0.000000 0.000000 0.000000
0.018000 0.000000 0.000000 0.598512 0.000000 0.000000 0.000000
0.019000 0.000000 0.000000 0.598338 0.000000 0.000000 0.000000
0.020000 0.000000 0.000000 0.598154 0.000000 0.000000 0.000000
0.021000 0.000000 0.000000 0.597961 0.000000 0.000000 0.000000
0.022000 0.000000 0.000000 0.597758 0.000000 0.000000 0.000000
0.023000 0.000000 0.000000 0.597546 0.000000 0.000000 0.000000
0.024000 0.000000 0.000000 0.597324 0.000000 0.000000 0.000000
0.025000 0.000000 0.000000 0.597093 0.000000 0.000000 0.000000
0.026000 0.000000 0.000000 0.596853 0.000000 0.000000 0.000000
0.027000 0.000000 0.000000 0.596602 0.000000 0.000000 0.000000
0.028000 0.000000 0.000000 0.596343 0.000000 0.000000 0.000000
0.029000 0.000000 0.000000 0.596074 0.000000 0.000000 0.000000
0.030000 0.000000 0.000000 0.595796 0.000000 0.000000 0.000000
0.031000 0.000000 0.000000 0.595508 0.000000 0.000000 0.000000
0.032000 0.000000 0.000000 0.595211 0.000000 0.000000 0.000000
0.033000 0.000000 0.000000 0.594904 0.000000 0.000000 0.000000
0.034000 0.000000 0.000000 0.594589 0.000000 0.000000 0.000000
0.035000 0.000000 0.000000 0.594264 0.000000 0.000000 0.000000
0.036000 0.000000 0.000000 0.593929 0.000000 0.000000 0.000000
